TO,LOCATION
VGA_R[0],PIN_A13
VGA_R[1],PIN_C13
VGA_R[2],PIN_E13
VGA_R[3],PIN_B12
VGA_R[4],PIN_C12
VGA_R[5],PIN_D12
VGA_R[6],PIN_E12
VGA_R[7],PIN_F13
VGA_G[0],PIN_J9
VGA_G[1],PIN_J10
VGA_G[2],PIN_H12
VGA_G[3],PIN_G10
VGA_G[4],PIN_G11
VGA_G[5],PIN_G12
VGA_G[6],PIN_F11
VGA_G[7],PIN_E11
VGA_B[0],PIN_B13
VGA_B[1],PIN_G13
VGA_B[2],PIN_H13
VGA_B[3],PIN_F14
VGA_B[4],PIN_H14
VGA_B[5],PIN_F15
VGA_B[6],PIN_G15
VGA_B[7],PIN_J14
VGA_CLK,PIN_A11
VGA_BLANK_N,PIN_F10
VGA_HS,PIN_B11
VGA_VS,PIN_D11
CLK50,PIN_AF14
KEY_RST,PIN_AA14


